Symbol,Latest_Close,52_Week_Low,Distance_from_Low_%,Date_at_52W_Low,Chart_URL
GBIMEP,100.0,100.0,0.0,N/A,https://nepsealpha.com/nepse-chart?symbol=GBIMEP
SLBBLP,453.0,453.0,0.0,N/A,https://nepsealpha.com/nepse-chart?symbol=SLBBLP
MSHL,795.1,795.0,0.01,N/A,https://nepsealpha.com/nepse-chart?symbol=MSHL
SWBBL,725.2,724.8,0.06,N/A,https://nepsealpha.com/nepse-chart?symbol=SWBBL
SMJC,479.0,478.5,0.1,N/A,https://nepsealpha.com/nepse-chart?symbol=SMJC
NIMB,186.0,185.5,0.27,N/A,https://nepsealpha.com/nepse-chart?symbol=NIMB
MHCL,364.0,363.0,0.28,N/A,https://nepsealpha.com/nepse-chart?symbol=MHCL
MLBSL,1850.0,1841.2,0.48,N/A,https://nepsealpha.com/nepse-chart?symbol=MLBSL
TAMOR,413.1,411.0,0.51,N/A,https://nepsealpha.com/nepse-chart?symbol=TAMOR
SKBBL,756.0,752.0,0.53,N/A,https://nepsealpha.com/nepse-chart?symbol=SKBBL
NICL,485.6,483.0,0.54,N/A,https://nepsealpha.com/nepse-chart?symbol=NICL
CIT,1741.0,1730.8,0.59,N/A,https://nepsealpha.com/nepse-chart?symbol=CIT
UNLB,1830.0,1818.4,0.64,N/A,https://nepsealpha.com/nepse-chart?symbol=UNLB
BGWT,755.0,750.0,0.67,N/A,https://nepsealpha.com/nepse-chart?symbol=BGWT
MKCL,1345.0,1333.0,0.9,N/A,https://nepsealpha.com/nepse-chart?symbol=MKCL
NLG,667.0,660.0,1.06,N/A,https://nepsealpha.com/nepse-chart?symbol=NLG
SHLB,1558.0,1540.2,1.16,N/A,https://nepsealpha.com/nepse-chart?symbol=SHLB
PRVU,182.0,179.9,1.17,N/A,https://nepsealpha.com/nepse-chart?symbol=PRVU
MKHC,317.0,313.0,1.28,N/A,https://nepsealpha.com/nepse-chart?symbol=MKHC
CHCL,461.9,456.0,1.29,N/A,https://nepsealpha.com/nepse-chart?symbol=CHCL
NMB,234.0,231.0,1.3,N/A,https://nepsealpha.com/nepse-chart?symbol=NMB
RURU,649.0,640.0,1.41,N/A,https://nepsealpha.com/nepse-chart?symbol=RURU
USLB,1425.0,1405.0,1.42,N/A,https://nepsealpha.com/nepse-chart?symbol=USLB
GLBSL,1889.8,1862.1,1.49,N/A,https://nepsealpha.com/nepse-chart?symbol=GLBSL
